rainfall,slope,soil_moisture,elevation,soil_geology,land_cover,historical,drainage,road_cutting,landslide_event
46.29414568647203,71.60489894479375,48.883934410336806,27.334651948286247,67.72678918760697,34.79652196687952,40.71213003683208,58.42883807869674,4.904540242534665,0
61.82321682695427,21.600680751327992,39.272716980940956,42.90187856365745,49.838067463504224,61.69277228614828,34.13293472829453,52.93803233707918,49.99057310246626,0
40.936685395227784,46.36926405152882,37.55661036055497,19.1315448926205,30.864391991724197,68.26759771244093,39.22562378205963,44.30330730441561,16.576461513694106,0
36.87611759798328,54.66336563880937,43.86957210440611,46.689729770159246,89.45887160533479,43.14179081889192,65.93234321926715,36.84521892056633,68.32100618390709,0
66.88737965468702,44.28539431897599,53.27561539306745,50.08126969936421,27.374271999077806,35.19876704223617,80.18992401106289,51.58497854016822,32.45766690693937,0
39.166858593694926,48.56659004024833,36.52112130009345,12.019164864807834,77.8412413286903,73.04397070297345,63.116674752456206,39.657565154191545,46.93092951908697,0
51.620619697562134,76.64917243157798,47.32196176909449,55.847335355919746,68.9222357052445,71.51475060421679,40.6204727332924,70.72116011070392,74.52812093334651,1
48.34322243154301,25.769224802117783,26.749255261369715,38.784005053720364,59.22015887034693,68.15035335723731,52.89572698922885,48.56278708367179,14.72103579541335,0
66.84918777124605,36.316566099957676,38.12748206761624,27.330024780627653,53.96116069930194,45.98015080206537,52.812180819244624,48.79481461329481,75.02722720181532,0
32.50633404892539,4.549925466309709,32.049341789800124,34.664871717219945,72.71977563697415,52.41283987110804,68.50436961926154,19.60537241493857,57.92080564487015,0
81.69422868822252,41.42011504434861,55.350963416993324,68.65852806302726,77.3155212653157,60.767849886584884,52.483003570101744,60.58780062209278,38.92525219200151,0
26.809682096265828,13.259221577461517,24.24284596447768,41.484720691074784,77.44107290386373,66.65278514482135,63.08319412069333,23.931277121402072,0.6331717104167822,0
53.84958562377491,27.56825768582295,51.52287267387395,21.3160528716038,77.60617260623383,54.39081140598271,53.186168980640275,55.99533817277566,85.49060536780944,0
49.785108857626064,39.20853764606536,48.59365795106366,15.031816424429165,40.85697094864906,87.77546180636728,61.647601478170245,33.44906379008232,41.088446841772665,0
25.01260942967029,60.67370528257731,18.391054220792608,44.74448306092841,52.46899502512741,63.21362045022,68.20349071611442,39.69723317322572,60.602492964925155,0
56.82134917043989,8.647813280113974,46.791102909490235,27.790243894409727,53.13919698444969,57.5459161565496,32.490496710137315,31.808473309797414,51.10685051062071,0
34.305454051014024,3.248690194494414,18.3534305113819,53.60629440454026,62.81578953134934,54.163425031938225,49.1558632644406,30.528848247213322,89.43287992205646,0
19.032151575854343,84.20068088020992,9.76068857274338,31.4196964684479,65.98631183652788,58.78269076410591,47.527634976513035,30.078407243634643,26.311601539899204,0
61.5483589408474,65.11886522698714,38.708818474344,26.875256647203503,77.0020912334183,60.645664763986844,65.8828811465332,48.66686054173937,68.95961824102125,1
13.603837820842193,20.945240863712446,19.05834112515996,40.46660886036947,61.62536339933477,42.54086767184309,51.67097900478065,15.25265711467365,84.91681299827829,0
